,protein,accuracy,precision,recall,f1,auc,ap,count,tn,fp,fn,tp
0,ADORA2A,0.42847927753588133,0.017167233127557743,0.9744094488188977,0.03374003135437257,0.6986202030245201,0.016989968676906587,508,20761,28339,13,495
1,BRCA1,0.3251693275278181,0.021928410190261205,0.8677494199535963,0.04277585566008063,0.591662015601875,0.021326381672063535,862,15383,33363,114,748
2,CNR1,0.3640945008869537,0.015547923821417422,0.97265625,0.03060660070063303,0.665202167691869,0.01540499782578903,512,17564,31532,14,498
3,DRD2,0.3995524915336236,0.026034341782502045,0.9900497512437811,0.05073456770451576,0.6899371778921963,0.025936557917769436,804,19025,29779,8,796
4,HTR1A,0.3738308337364941,0.019698835116961834,0.9842271293375394,0.03862461700349726,0.6750779947745402,0.019589708328720496,634,17921,31053,10,624
5,KCNH2,0.3594581519109821,0.01589761070996932,0.9624765478424016,0.03127858057435522,0.6576926804418325,0.01570423825559293,533,17319,31756,20,513
6,LMNA,0.31373971940009676,0.032020906923982656,0.7673778389538886,0.06147653967028726,0.5337148773214049,0.0313855515474451,1453,14449,33706,338,1115
7,OPRM1,0.37320593452668926,0.01787801257146467,0.9982363315696648,0.03512691615465773,0.6821079090608668,0.017866639724121208,567,17948,31093,1,566
8,SLC6A4,0.4110022577003709,0.022783539645366342,0.9855282199710564,0.04453745789869527,0.6942073710195246,0.022655401661597522,691,19708,29209,10,681
9,TARDBP,0.3297855184647637,0.026940005317106313,0.7481542247744053,0.05200729927007299,0.5337001672137128,0.02634379677440884,1219,15448,32941,307,912
10,TDP1,0.3358732462506047,0.05572153734590283,0.8305231301340251,0.1044362292051756,0.5711025630583435,0.0541799769105769,2313,14741,32554,392,1921
11,-,0.39602483470408,0.9215218926553672,0.26419821826280626,0.41066089693154995,0.5880717715719737,0.8295191107315554,39512,9207,889,29073,10439
12,average,0.36751800784819655,0.09942835410065497,0.8621322092385052,0.07800046601065777,0.6317580748893883,0.09140852750221225,49608,-1,-1,-1,-1
13,weighted_avg,0.3872825095986854,0.7402592590211272,0.3892114175133043,0.3391114819919433,0.5924070136657532,0.6668546158355523,49608,-1,-1,-1,-1
