,protein,accuracy,precision,recall,f1,auc,ap,count,tn,fp,fn,tp
0,ADRA2A,0.5233415233415234,0.09272300469483569,0.9634146341463414,0.16916488222698073,0.7317073170731707,0.09117345148777646,82,773,773,3,79
1,GRIN1,0.8796068796068796,0.21686746987951808,0.9818181818181818,0.35526315789473684,0.9289256198347108,0.21353867558686834,55,1378,195,1,54
2,HTR3A,0.8138820638820639,0.15254237288135594,0.9473684210526315,0.26277372262773724,0.8782036249120573,0.14635657878298378,57,1271,300,3,54
3,MINK1,0.5208845208845209,0.09918319719953325,0.9139784946236559,0.17894736842105263,0.7055234492662253,0.09556531418239551,93,763,772,8,85
4,PKM2,0.5964373464373465,0.06876790830945559,0.8727272727272727,0.12749003984063745,0.7297520661157024,0.06431538336982463,55,923,650,7,48
5,POLK,0.4963144963144963,0.07445589919816724,0.8441558441558441,0.1368421052631579,0.6616008105369807,0.07022338981101868,77,743,808,12,65
6,VDR,0.578009828009828,0.09581646423751687,0.8068181818181818,0.1712907117008444,0.6858766233766234,0.08774872590662064,88,870,670,17,71
7,-,0.6615479115479116,0.9292168674698795,0.5504014272970562,0.6913165266106442,0.7288496288359049,0.8210245997062308,1121,460,47,504,617
8,average,0.6337530712530712,0.21619664798378277,0.8600853072048957,0.26163606432322395,0.756304892493922,0.19874326485421487,1628,-1,-1,-1,-1
9,weighted_avg,0.6447212932163792,0.6738631734054419,0.6590909090909091,0.53600700536638,0.7341765352104169,0.5979642264374229,1628,-1,-1,-1,-1
