Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9667,0.9895,0.7368,0.875,0.8,0.782,0.7854,ExtraTreesClassifier,0
0.981,0.9691,0.9474,0.8571,0.9,0.8895,0.8909,ExtraTreesClassifier,1
0.9714,0.9915,0.8947,0.8095,0.85,0.8343,0.8355,ExtraTreesClassifier,2
0.9665,0.9695,0.7368,0.875,0.8,0.7819,0.7853,ExtraTreesClassifier,3
0.9809,0.9859,0.9474,0.8571,0.9,0.8894,0.8908,ExtraTreesClassifier,4
0.9665,0.9729,0.6842,0.9286,0.7879,0.7701,0.7807,ExtraTreesClassifier,5
0.9665,0.9432,0.7368,0.875,0.8,0.7819,0.7853,ExtraTreesClassifier,6
0.9809,0.9928,0.8421,0.9412,0.8889,0.8785,0.8801,ExtraTreesClassifier,7
0.9809,0.9942,0.8421,0.9412,0.8889,0.8785,0.8801,ExtraTreesClassifier,8
0.9522,0.9188,0.6842,0.7647,0.7222,0.6961,0.6974,ExtraTreesClassifier,9
0.9713,0.9727,0.8053,0.8724,0.8338,0.8182,0.8212,ExtraTreesClassifier,Mean
0.0091,0.0234,0.0972,0.0535,0.0575,0.0623,0.0614,ExtraTreesClassifier,Std
