Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9667,0.9887,0.6316,1.0,0.7742,0.7572,0.7805,RandomForestClassifier,0
0.9714,0.9653,0.9474,0.7826,0.8571,0.8414,0.8462,RandomForestClassifier,1
0.9714,0.978,0.8947,0.8095,0.85,0.8343,0.8355,RandomForestClassifier,2
0.9569,0.974,0.7895,0.75,0.7692,0.7455,0.7458,RandomForestClassifier,3
0.9665,0.9795,0.7895,0.8333,0.8108,0.7925,0.7928,RandomForestClassifier,4
0.9617,0.9568,0.6316,0.9231,0.75,0.7301,0.7455,RandomForestClassifier,5
0.9617,0.9219,0.6842,0.8667,0.7647,0.7442,0.7503,RandomForestClassifier,6
0.9569,0.9806,0.8421,0.7273,0.7805,0.7568,0.7593,RandomForestClassifier,7
0.9761,0.9947,0.7895,0.9375,0.8571,0.8442,0.8479,RandomForestClassifier,8
0.9569,0.9381,0.7368,0.7778,0.7568,0.7332,0.7335,RandomForestClassifier,9
0.9646,0.9678,0.7737,0.8408,0.797,0.7779,0.7837,RandomForestClassifier,Mean
0.0065,0.0217,0.1,0.0847,0.0408,0.0438,0.0423,RandomForestClassifier,Std
