Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.981,0.9909,0.8421,0.9412,0.8889,0.8785,0.8801,LGBMClassifier,0
0.981,0.9529,0.8947,0.8947,0.8947,0.8843,0.8843,LGBMClassifier,1
0.9667,0.9691,0.8421,0.8,0.8205,0.8022,0.8025,LGBMClassifier,2
0.9665,0.9717,0.7368,0.875,0.8,0.7819,0.7853,LGBMClassifier,3
0.9665,0.9884,0.8421,0.8,0.8205,0.8021,0.8024,LGBMClassifier,4
0.9713,0.9637,0.7368,0.9333,0.8235,0.8081,0.8148,LGBMClassifier,5
0.9617,0.9435,0.6842,0.8667,0.7647,0.7442,0.7503,LGBMClassifier,6
0.9856,0.9842,0.8421,1.0,0.9143,0.9065,0.9105,LGBMClassifier,7
0.9761,0.9964,0.8421,0.8889,0.8649,0.8518,0.8521,LGBMClassifier,8
0.9569,0.9496,0.6316,0.8571,0.7273,0.7045,0.7142,LGBMClassifier,9
0.9713,0.971,0.7895,0.8857,0.8319,0.8164,0.8197,LGBMClassifier,Mean
0.0088,0.0177,0.0815,0.0587,0.0565,0.061,0.059,LGBMClassifier,Std
