Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9666,0.974,0.7789,0.8444,0.8062,0.7881,0.7912,AdaBoostClassifier,Mean
0.0113,0.0175,0.1047,0.0711,0.0731,0.0789,0.0771,AdaBoostClassifier,Std
0.9274,0.9431,0.8316,0.5776,0.677,0.638,0.6544,RidgeClassifier,Mean
0.0181,0.0294,0.0993,0.076,0.065,0.0736,0.0723,RidgeClassifier,Std
0.9713,0.9779,0.8368,0.8518,0.8411,0.8254,0.8273,LogisticRegression,Mean
0.0115,0.0215,0.0831,0.0804,0.0633,0.0696,0.0695,LogisticRegression,Std
0.9723,0.9682,0.7895,0.8921,0.8344,0.8195,0.8231,ExtraTreesClassifier,Mean
0.0123,0.0194,0.1129,0.0541,0.0788,0.0852,0.0825,ExtraTreesClassifier,Std
0.9637,0.9643,0.7474,0.8461,0.7858,0.7663,0.7725,RandomForestClassifier,Mean
0.0089,0.028,0.1124,0.0768,0.0633,0.0674,0.064,RandomForestClassifier,Std
0.9713,0.971,0.7895,0.8857,0.8319,0.8164,0.8197,LGBMClassifier,Mean
0.0088,0.0177,0.0815,0.0587,0.0565,0.061,0.059,LGBMClassifier,Std
0.9699,0.9736,0.7895,0.8731,0.8244,0.8081,0.812,GradientBoostingClassifier,Mean
0.008,0.0195,0.0912,0.0634,0.0533,0.0574,0.0546,GradientBoostingClassifier,Std
