Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.99,0.9899,0.8947,0.8947,0.8947,0.8895,0.8895,ExtraTreesClassifier,0
0.99,0.9827,0.8947,0.8947,0.8947,0.8895,0.8895,ExtraTreesClassifier,1
0.975,0.9867,0.7368,0.7368,0.7368,0.7237,0.7237,ExtraTreesClassifier,2
0.9825,0.9642,0.7895,0.8333,0.8108,0.8016,0.802,ExtraTreesClassifier,3
0.98,0.9869,0.8421,0.7619,0.8,0.7895,0.7906,ExtraTreesClassifier,4
0.985,0.9779,0.7368,0.9333,0.8235,0.8158,0.822,ExtraTreesClassifier,5
0.9799,0.99,0.7895,0.7895,0.7895,0.7789,0.7789,ExtraTreesClassifier,6
0.9825,0.9501,0.7895,0.8333,0.8108,0.8016,0.8019,ExtraTreesClassifier,7
0.9799,0.9435,0.7895,0.7895,0.7895,0.7789,0.7789,ExtraTreesClassifier,8
0.9799,0.9735,0.6316,0.9231,0.75,0.7399,0.7544,ExtraTreesClassifier,9
0.9825,0.9746,0.7895,0.839,0.81,0.8009,0.8032,ExtraTreesClassifier,Mean
0.0045,0.0159,0.0744,0.066,0.0494,0.0517,0.0503,ExtraTreesClassifier,Std
