Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.995,0.9903,0.8947,1.0,0.9444,0.9418,0.9434,LGBMClassifier,0
0.995,0.9982,0.8947,1.0,0.9444,0.9418,0.9434,LGBMClassifier,1
0.9825,0.9822,0.7368,0.875,0.8,0.7909,0.7941,LGBMClassifier,2
0.9875,0.9942,0.8947,0.85,0.8718,0.8652,0.8655,LGBMClassifier,3
0.9775,0.9877,0.7895,0.75,0.7692,0.7574,0.7577,LGBMClassifier,4
0.985,0.9663,0.7368,0.9333,0.8235,0.8158,0.822,LGBMClassifier,5
0.9825,0.9942,0.8421,0.8,0.8205,0.8113,0.8116,LGBMClassifier,6
0.9749,0.9299,0.6316,0.8,0.7059,0.693,0.6983,LGBMClassifier,7
0.9799,0.9776,0.7368,0.8235,0.7778,0.7673,0.7686,LGBMClassifier,8
0.9825,0.9659,0.6842,0.9286,0.7879,0.7789,0.7888,LGBMClassifier,9
0.9842,0.9787,0.7842,0.876,0.8245,0.8164,0.8194,LGBMClassifier,Mean
0.0063,0.0195,0.0895,0.0823,0.0723,0.0755,0.0746,LGBMClassifier,Std
