Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.995,0.9943,0.9474,0.9474,0.9474,0.9447,0.9447,LogisticRegression,0
0.995,0.9844,0.9474,0.9474,0.9474,0.9447,0.9447,LogisticRegression,1
0.9825,0.9569,0.7368,0.875,0.8,0.7909,0.7941,LogisticRegression,2
0.985,0.9927,0.9474,0.7826,0.8571,0.8493,0.8536,LogisticRegression,3
0.9725,0.9668,0.8421,0.6667,0.7442,0.7299,0.7354,LogisticRegression,4
0.9825,0.9272,0.7368,0.875,0.8,0.7909,0.7941,LogisticRegression,5
0.9774,0.9748,0.8947,0.7083,0.7907,0.7789,0.7849,LogisticRegression,6
0.9825,0.9398,0.8421,0.8,0.8205,0.8113,0.8116,LogisticRegression,7
0.9724,0.9208,0.7368,0.7,0.7179,0.7035,0.7037,LogisticRegression,8
0.985,0.9267,0.7895,0.8824,0.8333,0.8255,0.8269,LogisticRegression,9
0.983,0.9584,0.8421,0.8185,0.8259,0.817,0.8194,LogisticRegression,Mean
0.0074,0.0269,0.0849,0.0972,0.0718,0.0755,0.0746,LogisticRegression,Std
