Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.99,0.9939,0.9474,0.8571,0.9,0.8948,0.896,RidgeClassifier,0
0.9875,0.9965,0.9474,0.8182,0.878,0.8715,0.8741,RidgeClassifier,1
0.96,0.9351,0.7368,0.56,0.6364,0.6156,0.6221,RidgeClassifier,2
0.98,0.9909,0.9474,0.72,0.8182,0.8078,0.8163,RidgeClassifier,3
0.965,0.9334,0.8421,0.5926,0.6957,0.6777,0.6895,RidgeClassifier,4
0.9875,0.9441,0.7895,0.9375,0.8571,0.8507,0.8541,RidgeClassifier,5
0.9724,0.9849,0.9474,0.6429,0.766,0.7519,0.7679,RidgeClassifier,6
0.9799,0.9449,0.8947,0.7391,0.8095,0.799,0.8031,RidgeClassifier,7
0.9749,0.9123,0.7895,0.7143,0.75,0.7368,0.7379,RidgeClassifier,8
0.985,0.9191,0.8421,0.8421,0.8421,0.8342,0.8342,RidgeClassifier,9
0.9782,0.9555,0.8684,0.7424,0.7953,0.784,0.7895,RidgeClassifier,Mean
0.0096,0.031,0.0754,0.1157,0.0792,0.084,0.0817,RidgeClassifier,Std
