Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.985,0.9967,0.9474,0.7826,0.8571,0.8493,0.8536,SGDClassifier,0
0.9875,0.9967,0.9474,0.8182,0.878,0.8715,0.8741,SGDClassifier,1
0.975,0.9825,0.7895,0.7143,0.75,0.7369,0.7379,SGDClassifier,2
0.985,0.9964,0.9474,0.7826,0.8571,0.8493,0.8536,SGDClassifier,3
0.975,0.9814,0.8421,0.6957,0.7619,0.7488,0.7526,SGDClassifier,4
0.985,0.9413,0.8421,0.8421,0.8421,0.8342,0.8342,SGDClassifier,5
0.9774,0.9947,1.0,0.6786,0.8085,0.797,0.8139,SGDClassifier,6
0.9825,0.9644,0.8421,0.8,0.8205,0.8113,0.8116,SGDClassifier,7
0.9724,0.9395,0.8421,0.6667,0.7442,0.7298,0.7354,SGDClassifier,8
0.99,0.9407,0.8421,0.9412,0.8889,0.8837,0.8852,SGDClassifier,9
0.9815,0.9734,0.8842,0.7722,0.8208,0.8112,0.8152,SGDClassifier,Mean
0.0057,0.0235,0.0657,0.081,0.0505,0.0534,0.0529,SGDClassifier,Std
