Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9875,0.9943,0.9474,0.8182,0.878,0.8715,0.8741,RidgeClassifier,0
0.9875,0.9961,0.9474,0.8182,0.878,0.8715,0.8741,RidgeClassifier,1
0.96,0.9402,0.7368,0.56,0.6364,0.6156,0.6221,RidgeClassifier,2
0.98,0.9888,0.9474,0.72,0.8182,0.8078,0.8163,RidgeClassifier,3
0.9675,0.9384,0.8421,0.6154,0.7111,0.6943,0.7039,RidgeClassifier,4
0.9875,0.9418,0.7895,0.9375,0.8571,0.8507,0.8541,RidgeClassifier,5
0.9699,0.9813,0.9474,0.6207,0.75,0.7347,0.7534,RidgeClassifier,6
0.9799,0.9494,0.8421,0.7619,0.8,0.7895,0.7906,RidgeClassifier,7
0.9749,0.9154,0.7895,0.7143,0.75,0.7368,0.7379,RidgeClassifier,8
0.9825,0.9213,0.8421,0.8,0.8205,0.8113,0.8116,RidgeClassifier,9
0.9777,0.9567,0.8632,0.7366,0.7899,0.7784,0.7838,RidgeClassifier,Mean
0.009,0.0291,0.0752,0.1088,0.0741,0.0786,0.0766,RidgeClassifier,Std
