Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9478,0.9424,0.7895,0.8824,0.8333,0.8025,0.8043,GradientBoostingClassifier,0
0.9652,0.9937,0.85,0.9444,0.8947,0.874,0.8757,GradientBoostingClassifier,1
0.9561,0.9845,0.8947,0.85,0.8718,0.8454,0.8458,GradientBoostingClassifier,2
0.9386,0.9529,0.7368,0.875,0.8,0.764,0.768,GradientBoostingClassifier,3
0.9737,0.9917,0.9474,0.9,0.9231,0.9072,0.9077,GradientBoostingClassifier,4
0.9561,0.9762,0.7895,0.9375,0.8571,0.8315,0.8357,GradientBoostingClassifier,5
0.9561,0.985,0.7895,0.9375,0.8571,0.8315,0.8357,GradientBoostingClassifier,6
0.9474,0.9629,0.8421,0.8421,0.8421,0.8105,0.8105,GradientBoostingClassifier,7
0.9561,0.9784,0.8947,0.85,0.8718,0.8454,0.8458,GradientBoostingClassifier,8
0.9561,0.9762,0.7895,0.9375,0.8571,0.8315,0.8357,GradientBoostingClassifier,9
0.9553,0.9744,0.8324,0.8956,0.8608,0.8343,0.8365,GradientBoostingClassifier,Mean
0.0092,0.0159,0.0616,0.0391,0.0318,0.037,0.0363,GradientBoostingClassifier,Std
