Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9553,0.9744,0.8324,0.8956,0.8608,0.8343,0.8365,GradientBoostingClassifier,Mean
0.0092,0.0159,0.0616,0.0391,0.0318,0.037,0.0363,GradientBoostingClassifier,Std
0.9545,0.9759,0.8168,0.9067,0.8562,0.8293,0.8331,LGBMClassifier,Mean
0.0094,0.0156,0.0673,0.0558,0.033,0.0383,0.0381,LGBMClassifier,Std
0.951,0.9627,0.8639,0.8497,0.8541,0.8248,0.8267,SGDClassifier,Mean
0.0167,0.0319,0.0786,0.0598,0.0527,0.0623,0.0616,SGDClassifier,Std
0.9518,0.9768,0.8432,0.8729,0.8534,0.8248,0.8279,LogisticRegression,Mean
0.0142,0.0184,0.0809,0.0715,0.0447,0.053,0.0534,LogisticRegression,Std
0.9448,0.9708,0.7905,0.874,0.826,0.7936,0.7976,RandomForestClassifier,Mean
0.0125,0.012,0.0781,0.0539,0.0428,0.0493,0.0451,RandomForestClassifier,Std
0.9483,0.966,0.8113,0.8735,0.8385,0.8079,0.8105,ExtraTreesClassifier,Mean
0.01,0.0219,0.0718,0.0399,0.0382,0.0435,0.0411,ExtraTreesClassifier,Std
0.8197,0.8992,0.8066,0.4816,0.6002,0.4941,0.5237,RidgeClassifier,Mean
0.0286,0.0261,0.0841,0.0483,0.0455,0.0595,0.0595,RidgeClassifier,Std
