Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.913,0.9331,0.7368,0.7368,0.7368,0.6848,0.6848,AdaBoostClassifier,0
0.9565,0.9895,0.85,0.8947,0.8718,0.8456,0.846,AdaBoostClassifier,1
0.9561,0.9884,0.8947,0.85,0.8718,0.8454,0.8458,AdaBoostClassifier,2
0.9298,0.9673,0.6842,0.8667,0.7647,0.7241,0.7311,AdaBoostClassifier,3
0.9561,0.9812,0.8947,0.85,0.8718,0.8454,0.8458,AdaBoostClassifier,4
0.9561,0.9812,0.8947,0.85,0.8718,0.8454,0.8458,AdaBoostClassifier,5
0.9386,0.9773,0.6842,0.9286,0.7879,0.7529,0.7649,AdaBoostClassifier,6
0.9298,0.9512,0.7895,0.7895,0.7895,0.7474,0.7474,AdaBoostClassifier,7
0.9474,0.9823,0.8421,0.8421,0.8421,0.8105,0.8105,AdaBoostClassifier,8
0.9211,0.9756,0.6316,0.8571,0.7273,0.6824,0.6932,AdaBoostClassifier,9
0.9405,0.9727,0.7903,0.8466,0.8135,0.7784,0.7815,AdaBoostClassifier,Mean
0.0155,0.0169,0.0946,0.0499,0.056,0.0645,0.0621,AdaBoostClassifier,Std
