Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9565,0.9556,0.8947,0.85,0.8718,0.8456,0.846,ExtraTreesClassifier,0
0.9652,0.9921,0.9,0.9,0.9,0.8789,0.8789,ExtraTreesClassifier,1
0.9561,0.9712,0.8947,0.85,0.8718,0.8454,0.8458,ExtraTreesClassifier,2
0.9561,0.9651,0.8421,0.8889,0.8649,0.8387,0.8391,ExtraTreesClassifier,3
0.9737,0.985,0.9474,0.9,0.9231,0.9072,0.9077,ExtraTreesClassifier,4
0.9298,0.9507,0.6842,0.8667,0.7647,0.7241,0.7311,ExtraTreesClassifier,5
0.9474,0.9418,0.7368,0.9333,0.8235,0.7931,0.8008,ExtraTreesClassifier,6
0.9561,0.9673,0.8421,0.8889,0.8649,0.8387,0.8391,ExtraTreesClassifier,7
0.9298,0.9701,0.8947,0.7391,0.8095,0.767,0.7722,ExtraTreesClassifier,8
0.9474,0.9479,0.7895,0.8824,0.8333,0.8022,0.8039,ExtraTreesClassifier,9
0.9518,0.9647,0.8426,0.8699,0.8527,0.8241,0.8265,ExtraTreesClassifier,Mean
0.0132,0.0153,0.0784,0.0496,0.0436,0.0509,0.0486,ExtraTreesClassifier,Std
