Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9391,0.9529,0.8947,0.7727,0.8293,0.7925,0.7956,LogisticRegression,0
0.9565,0.9874,0.8,0.9412,0.8649,0.8392,0.8431,LogisticRegression,1
0.9737,0.9917,0.9474,0.9,0.9231,0.9072,0.9077,LogisticRegression,2
0.9211,0.964,0.6842,0.8125,0.7429,0.6966,0.7002,LogisticRegression,3
0.9561,0.9889,0.9474,0.8182,0.878,0.8515,0.8549,LogisticRegression,4
0.9474,0.944,0.7368,0.9333,0.8235,0.7931,0.8008,LogisticRegression,5
0.9474,0.9956,0.7368,0.9333,0.8235,0.7931,0.8008,LogisticRegression,6
0.9561,0.9557,0.8421,0.8889,0.8649,0.8387,0.8391,LogisticRegression,7
0.9649,0.9972,0.9474,0.8571,0.9,0.8788,0.8804,LogisticRegression,8
0.9474,0.9806,0.7895,0.8824,0.8333,0.8022,0.8039,LogisticRegression,9
0.951,0.9758,0.8326,0.874,0.8483,0.8193,0.8226,LogisticRegression,Mean
0.0137,0.0187,0.0931,0.0547,0.0476,0.0552,0.0541,LogisticRegression,Std
