Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.913,0.9545,0.7368,0.7368,0.7368,0.6848,0.6848,RandomForestClassifier,0
0.9739,0.9947,0.9,0.9474,0.9231,0.9074,0.9078,RandomForestClassifier,1
0.9561,0.9773,0.8421,0.8889,0.8649,0.8387,0.8391,RandomForestClassifier,2
0.9211,0.9418,0.6316,0.8571,0.7273,0.6824,0.6932,RandomForestClassifier,3
0.9649,0.99,0.8947,0.8947,0.8947,0.8737,0.8737,RandomForestClassifier,4
0.9737,0.9618,0.8421,1.0,0.9143,0.8989,0.9035,RandomForestClassifier,5
0.9211,0.9524,0.6842,0.8125,0.7429,0.6966,0.7002,RandomForestClassifier,6
0.9474,0.9662,0.7895,0.8824,0.8333,0.8022,0.8039,RandomForestClassifier,7
0.9211,0.9623,0.8421,0.7273,0.7805,0.7327,0.7356,RandomForestClassifier,8
0.9561,0.9623,0.7368,1.0,0.8485,0.8235,0.8367,RandomForestClassifier,9
0.9448,0.9663,0.79,0.8747,0.8266,0.7941,0.7979,RandomForestClassifier,Mean
0.0225,0.0157,0.0855,0.0907,0.0712,0.0841,0.0833,RandomForestClassifier,Std
