Ratio,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model
5x,0.9553,0.9744,0.8324,0.8956,0.8608,0.8343,0.8365,GradientBoostingClassifier
5x,0.9545,0.9759,0.8168,0.9067,0.8562,0.8293,0.8331,LGBMClassifier
5x,0.951,0.9627,0.8639,0.8497,0.8541,0.8248,0.8267,SGDClassifier
5x,0.9518,0.9768,0.8432,0.8729,0.8534,0.8248,0.8279,LogisticRegression
5x,0.9448,0.9708,0.7905,0.874,0.826,0.7936,0.7976,RandomForestClassifier
5x,0.9483,0.966,0.8113,0.8735,0.8385,0.8079,0.8105,ExtraTreesClassifier
5x,0.8197,0.8992,0.8066,0.4816,0.6002,0.4941,0.5237,RidgeClassifier
10x,0.9718,0.973,0.8105,0.8747,0.8362,0.821,0.8246,GradientBoostingClassifier
10x,0.9732,0.9798,0.8053,0.8917,0.8425,0.828,0.8315,LGBMClassifier
10x,0.9713,0.9684,0.8263,0.8599,0.8394,0.8237,0.8259,SGDClassifier
10x,0.9718,0.9788,0.8368,0.8557,0.8429,0.8275,0.8295,LogisticRegression
10x,0.9646,0.9678,0.7737,0.8408,0.797,0.7779,0.7837,RandomForestClassifier
10x,0.9713,0.9727,0.8053,0.8724,0.8338,0.8182,0.8212,ExtraTreesClassifier
10x,0.9226,0.9417,0.8421,0.5571,0.6667,0.6255,0.6449,RidgeClassifier
20x,0.985,0.9686,0.7895,0.8884,0.8305,0.8228,0.8272,GradientBoostingClassifier
20x,0.9842,0.9787,0.7842,0.876,0.8245,0.8164,0.8194,LGBMClassifier
20x,0.9815,0.9734,0.8842,0.7722,0.8208,0.8112,0.8152,SGDClassifier
20x,0.983,0.9584,0.8421,0.8185,0.8259,0.817,0.8194,LogisticRegression
20x,0.9812,0.9863,0.7211,0.87,0.7826,0.7729,0.7798,RandomForestClassifier
20x,0.9825,0.9746,0.7895,0.839,0.81,0.8009,0.8032,ExtraTreesClassifier
20x,0.9782,0.9555,0.8684,0.7424,0.7953,0.784,0.7895,RidgeClassifier
