Ratio,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model
5x,0.9405,0.9727,0.7903,0.8466,0.8135,0.7784,0.7815,AdaBoostClassifier
5x,0.8205,0.8866,0.8011,0.4795,0.5981,0.4921,0.5207,RidgeClassifier
5x,0.951,0.9758,0.8326,0.874,0.8483,0.8193,0.8226,LogisticRegression
5x,0.9518,0.9647,0.8426,0.8699,0.8527,0.8241,0.8265,ExtraTreesClassifier
5x,0.9448,0.9663,0.79,0.8747,0.8266,0.7941,0.7979,RandomForestClassifier
5x,0.9544,0.9812,0.8216,0.8996,0.8569,0.8299,0.8324,LGBMClassifier
5x,0.9545,0.9737,0.8168,0.9055,0.8559,0.829,0.8326,GradientBoostingClassifier
10x,0.9666,0.974,0.7789,0.8444,0.8062,0.7881,0.7912,AdaBoostClassifier
10x,0.9274,0.9431,0.8316,0.5776,0.677,0.638,0.6544,RidgeClassifier
10x,0.9713,0.9779,0.8368,0.8518,0.8411,0.8254,0.8273,LogisticRegression
10x,0.9723,0.9682,0.7895,0.8921,0.8344,0.8195,0.8231,ExtraTreesClassifier
10x,0.9637,0.9643,0.7474,0.8461,0.7858,0.7663,0.7725,RandomForestClassifier
10x,0.9713,0.971,0.7895,0.8857,0.8319,0.8164,0.8197,LGBMClassifier
10x,0.9699,0.9736,0.7895,0.8731,0.8244,0.8081,0.812,GradientBoostingClassifier
20x,0.9787,0.9754,0.7737,0.7882,0.7756,0.7645,0.7674,AdaBoostClassifier
20x,0.9777,0.9567,0.8632,0.7366,0.7899,0.7784,0.7838,RidgeClassifier
20x,0.9832,0.9718,0.8158,0.8366,0.8222,0.8135,0.8156,LogisticRegression
20x,0.9817,0.974,0.7737,0.8373,0.8001,0.7906,0.7935,ExtraTreesClassifier
20x,0.9792,0.9637,0.7632,0.799,0.776,0.7652,0.7679,RandomForestClassifier
20x,0.9847,0.9792,0.7842,0.8929,0.8296,0.8217,0.8265,LGBMClassifier
20x,0.9832,0.9733,0.7684,0.87,0.8105,0.8019,0.8065,GradientBoostingClassifier
