Ratio,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model
5x,0.8178857142857144,0.8272428571428571,0.7089142857142857,0.7683714285714286,0.7353428571428572,0.7120142857142858,0.7133142857142858,GradientBoostingClassifier
5x,0.8169714285714286,0.8309714285714286,0.7023285714285713,0.7687571428571428,0.7320285714285714,0.7081857142857143,0.7096999999999999,LogisticRegression
5x,0.8128142857142857,0.8198857142857143,0.6904428571428571,0.7553714285714286,0.7186428571428571,0.6923,0.6937571428571429,LGBMClassifier
5x,0.8160285714285713,0.8185857142857144,0.709542857142857,0.7558,0.7302857142857143,0.7057857142857141,0.7065857142857144,ExtraTreesClassifier
5x,0.8096857142857142,0.8146714285714286,0.6786428571428571,0.7443857142857143,0.7085857142857143,0.6804285714285714,0.6817285714285715,RandomForestClassifier
10x,0.8341714285714286,0.8336571428571428,0.7265571428571428,0.7386571428571428,0.7299428571428571,0.7173142857142857,0.7179285714285714,LogisticRegression
10x,0.8315857142857144,0.8346857142857143,0.6800714285714287,0.7461,0.7101571428571428,0.6961857142857142,0.6973571428571429,ExtraTreesClassifier
10x,0.8333857142857142,0.8373571428571429,0.691342857142857,0.7683999999999999,0.7194714285714285,0.7065285714285715,0.7095428571428571,GradientBoostingClassifier
10x,0.8323285714285715,0.8306142857142856,0.6758857142857143,0.7594857142857142,0.7124714285714286,0.6989285714285713,0.7005857142857141,LGBMClassifier
10x,0.8334714285714286,0.8326857142857144,0.7496714285714285,0.7155142857142857,0.7302,0.7171571428571429,0.7178285714285716,SGDClassifier
20x,0.8450571428571428,0.8383285714285714,0.6719857142857143,0.7793428571428571,0.7186714285714286,0.7124142857142857,0.7155285714285714,LGBMClassifier
20x,0.8438285714285715,0.8344714285714286,0.7142285714285714,0.7205285714285715,0.7160714285714285,0.7090857142857142,0.7094428571428572,LogisticRegression
20x,0.8415142857142859,0.8362857142857142,0.7002142857142857,0.6925428571428572,0.6928857142857143,0.6847000000000001,0.6855714285714285,ExtraTreesClassifier
20x,0.8420714285714286,0.8332428571428573,0.6537714285714287,0.7306285714285715,0.6875,0.6796571428571428,0.6816857142857142,RandomForestClassifier
20x,0.8451571428571427,0.8361142857142857,0.6865,0.7656142857142856,0.7231,0.7168571428571429,0.7182999999999998,GradientBoostingClassifier
