Ratio,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model
5x,0.814442857142857,0.8300428571428572,0.6940571428571428,0.7623428571428571,0.723657142857143,0.6983428571428572,0.7000000000000001,LogisticRegression
5x,0.8116285714285716,0.8154714285714285,0.6956,0.7466,0.7163428571428571,0.6892571428571428,0.6906142857142857,ExtraTreesClassifier
5x,0.8173285714285715,0.8245857142857143,0.7072571428571427,0.7650714285714285,0.7340857142857142,0.7103857142857144,0.7114857142857142,GradientBoostingClassifier
5x,0.8137857142857142,0.8312857142857143,0.7510714285714286,0.7149571428571427,0.7304857142857142,0.7043571428571428,0.7051571428571428,SGDClassifier
5x,0.8174428571428571,0.8264428571428571,0.7196428571428569,0.7542285714285715,0.7359857142857142,0.7122714285714284,0.7127142857142857,LGBMClassifier
10x,0.8336714285714285,0.8354285714285714,0.7259142857142857,0.7332000000000001,0.7271714285714285,0.7142714285714286,0.7146142857142858,LogisticRegression
10x,0.8292857142857143,0.8368000000000001,0.6682571428571429,0.7350142857142856,0.6964142857142858,0.6812142857142858,0.6826857142857142,ExtraTreesClassifier
10x,0.8339857142857142,0.8381,0.6794714285714286,0.7739571428571429,0.7209000000000001,0.7083285714285715,0.710657142857143,GradientBoostingClassifier
10x,0.8333428571428572,0.8295285714285715,0.6701285714285714,0.772942857142857,0.7163,0.7034142857142858,0.7058714285714285,LGBMClassifier
10x,0.8266428571428571,0.8325142857142859,0.6105285714285714,0.7612714285714285,0.6711571428571429,0.6547571428571429,0.6603714285714286,RandomForestClassifier
20x,0.846,0.8374285714285714,0.6814999999999999,0.7892142857142858,0.7307,0.7249285714285715,0.7272714285714287,LGBMClassifier
20x,0.8421714285714286,0.8341714285714286,0.6538714285714285,0.7333,0.6904000000000001,0.6825857142857142,0.6840714285714286,RandomForestClassifier
20x,0.8410000000000001,0.8371999999999999,0.6787285714285715,0.6964571428571428,0.6839142857142857,0.6754714285714286,0.6765285714285714,ExtraTreesClassifier
20x,0.8431857142857142,0.8329285714285714,0.7134,0.7105571428571428,0.7101428571428571,0.7028285714285714,0.7033000000000001,LogisticRegression
20x,0.8455000000000001,0.8319857142857143,0.6836857142857143,0.7764428571428572,0.7257428571428572,0.7197000000000001,0.7217285714285715,GradientBoostingClassifier
