Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8158,0.8615,0.6842,0.9286,0.7879,0.6316,0.6547,LGBMClassifier,0
0.8684,0.9529,0.7895,0.9375,0.8571,0.7368,0.7462,LGBMClassifier,1
0.9474,0.9335,0.9474,0.9474,0.9474,0.8947,0.8947,LGBMClassifier,2
0.8158,0.8615,0.8421,0.8,0.8205,0.6316,0.6325,LGBMClassifier,3
0.9211,0.9557,0.8947,0.9444,0.9189,0.8421,0.8433,LGBMClassifier,4
0.8947,0.9612,0.8421,0.9412,0.8889,0.7895,0.7939,LGBMClassifier,5
0.8158,0.9197,0.8947,0.7727,0.8293,0.6316,0.6396,LGBMClassifier,6
0.8158,0.8781,0.8421,0.8,0.8205,0.6316,0.6325,LGBMClassifier,7
0.7632,0.8643,0.7895,0.75,0.7692,0.5263,0.527,LGBMClassifier,8
0.8684,0.9086,0.8947,0.85,0.8718,0.7368,0.7379,LGBMClassifier,9
0.8526,0.9097,0.8421,0.8672,0.8512,0.7053,0.7102,LGBMClassifier,Mean
0.0542,0.0387,0.0706,0.0765,0.0537,0.1084,0.107,LGBMClassifier,Std
