Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.983,0.9694,0.8263,0.8207,0.8191,0.8102,0.8126,LogisticRegression,Mean
0.0053,0.0304,0.1105,0.056,0.0667,0.0693,0.0681,LogisticRegression,Std
0.9825,0.9726,0.7684,0.8532,0.8052,0.7961,0.7991,RandomForestClassifier,Mean
0.004,0.0238,0.0788,0.0608,0.0492,0.0512,0.0502,RandomForestClassifier,Std
0.9847,0.9741,0.7895,0.8829,0.8292,0.8213,0.825,GradientBoostingClassifier,Mean
0.004,0.0337,0.0849,0.0587,0.0482,0.0501,0.0471,GradientBoostingClassifier,Std
0.9847,0.9741,0.7632,0.9045,0.8252,0.8173,0.8219,LGBMClassifier,Mean
0.0044,0.02,0.0754,0.063,0.0542,0.0564,0.0551,LGBMClassifier,Std
0.9752,0.9662,0.8579,0.7014,0.768,0.7552,0.7615,RidgeClassifier,Mean
0.0062,0.0344,0.0746,0.0672,0.0501,0.053,0.0508,RidgeClassifier,Std
0.983,0.9776,0.8,0.8391,0.816,0.8071,0.809,ExtraTreesClassifier,Mean
0.004,0.0161,0.0774,0.0536,0.0459,0.0479,0.047,ExtraTreesClassifier,Std
