Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8961,0.9167,0.75,0.8333,0.7895,0.7208,0.7225,ExtraTreesClassifier,0
0.9474,0.9566,0.8947,0.8947,0.8947,0.8596,0.8596,ExtraTreesClassifier,1
0.8684,0.9067,0.6842,0.7647,0.7222,0.6364,0.6381,ExtraTreesClassifier,2
0.8553,0.843,0.6316,0.75,0.6857,0.5926,0.5963,ExtraTreesClassifier,3
0.9474,0.9871,0.8947,0.8947,0.8947,0.8596,0.8596,ExtraTreesClassifier,4
0.8947,0.9575,0.8421,0.7619,0.8,0.7288,0.7305,ExtraTreesClassifier,5
0.9474,0.9428,0.8421,0.9412,0.8889,0.8545,0.8568,ExtraTreesClassifier,6
0.9211,0.9206,0.7368,0.9333,0.8235,0.7736,0.7826,ExtraTreesClassifier,7
0.9474,0.9788,0.8421,0.9412,0.8889,0.8545,0.8568,ExtraTreesClassifier,8
0.8816,0.9391,0.7895,0.75,0.7692,0.6897,0.6901,ExtraTreesClassifier,9
0.9107,0.9349,0.7908,0.8465,0.8157,0.757,0.7593,ExtraTreesClassifier,Mean
0.0341,0.0393,0.0841,0.0792,0.0721,0.0941,0.0938,ExtraTreesClassifier,Std
