Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8961,0.9754,0.75,0.8333,0.7895,0.7208,0.7225,GradientBoostingClassifier,0
0.9342,0.9769,0.8421,0.8889,0.8649,0.8214,0.822,GradientBoostingClassifier,1
0.8816,0.9381,0.6316,0.8571,0.7273,0.6538,0.6663,GradientBoostingClassifier,2
0.8816,0.9095,0.6316,0.8571,0.7273,0.6538,0.6663,GradientBoostingClassifier,3
0.9737,0.9972,0.8947,1.0,0.9444,0.9273,0.9297,GradientBoostingClassifier,4
0.9342,0.9852,0.8947,0.85,0.8718,0.8276,0.8281,GradientBoostingClassifier,5
0.9474,0.9889,0.8421,0.9412,0.8889,0.8545,0.8568,GradientBoostingClassifier,6
0.9342,0.9723,0.7895,0.9375,0.8571,0.8148,0.8199,GradientBoostingClassifier,7
0.9605,0.9769,0.8421,1.0,0.9143,0.8889,0.8944,GradientBoostingClassifier,8
0.9474,0.9658,0.8421,0.9412,0.8889,0.8545,0.8568,GradientBoostingClassifier,9
0.9291,0.9686,0.7961,0.9106,0.8474,0.8018,0.8063,GradientBoostingClassifier,Mean
0.0305,0.0248,0.0918,0.0587,0.0711,0.0897,0.0867,GradientBoostingClassifier,Std
