Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9928,0.9914,0.8421,0.8,0.8205,0.8168,0.8171,LogisticRegression,0
0.9907,0.9506,0.8421,0.7273,0.7805,0.7758,0.778,LogisticRegression,1
0.9969,0.9978,0.9474,0.9,0.9231,0.9215,0.9218,LogisticRegression,2
0.9938,0.9894,0.7895,0.8824,0.8333,0.8302,0.8315,LogisticRegression,3
0.9949,0.9656,0.8947,0.85,0.8718,0.8692,0.8695,LogisticRegression,4
0.9949,0.9709,0.9474,0.8182,0.878,0.8754,0.8779,LogisticRegression,5
0.9866,0.9836,0.6316,0.6667,0.6486,0.6418,0.6421,LogisticRegression,6
0.9948,0.9989,0.8947,0.85,0.8718,0.8692,0.8695,LogisticRegression,7
0.9866,0.9803,0.8947,0.6071,0.7234,0.7168,0.731,LogisticRegression,8
0.9969,0.9714,0.8947,0.9444,0.9189,0.9173,0.9177,LogisticRegression,9
0.9929,0.98,0.8579,0.8046,0.827,0.8234,0.8256,LogisticRegression,Mean
0.0036,0.0146,0.0882,0.1015,0.0831,0.0849,0.0833,LogisticRegression,Std
