Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9876,0.9909,0.8947,0.6296,0.7391,0.733,0.7449,RidgeClassifier,0
0.9887,0.9497,0.8947,0.6538,0.7556,0.7499,0.7596,RidgeClassifier,1
0.9897,0.9961,0.9474,0.6667,0.7826,0.7775,0.7901,RidgeClassifier,2
0.9918,0.9893,0.7895,0.7895,0.7895,0.7853,0.7853,RidgeClassifier,3
0.9866,0.9629,0.8947,0.6071,0.7234,0.7168,0.731,RidgeClassifier,4
0.9918,0.9788,0.9474,0.72,0.8182,0.814,0.8221,RidgeClassifier,5
0.9887,0.9652,0.7895,0.6818,0.7317,0.726,0.728,RidgeClassifier,6
0.9928,0.9987,0.9474,0.75,0.8372,0.8336,0.8395,RidgeClassifier,7
0.9835,0.9844,0.8947,0.5484,0.68,0.672,0.6933,RidgeClassifier,8
0.9918,0.955,0.8947,0.7391,0.8095,0.8053,0.8092,RidgeClassifier,9
0.9893,0.9771,0.8895,0.6786,0.7667,0.7613,0.7703,RidgeClassifier,Mean
0.0027,0.0167,0.0549,0.0693,0.0466,0.0479,0.0443,RidgeClassifier,Std
