Ratio,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model
1x,0.8368,0.9183,0.8421,0.8408,0.839,0.6737,0.6777,LogisticRegression
1x,0.85,0.9324,0.8,0.9014,0.8406,0.7,0.713,RandomForestClassifier
1x,0.8579,0.9253,0.8579,0.8595,0.8574,0.7158,0.7181,GradientBoostingClassifier
1x,0.8526,0.9097,0.8421,0.8672,0.8512,0.7053,0.7102,LGBMClassifier
1x,0.8184,0.8737,0.8632,0.7974,0.8267,0.6368,0.643,RidgeClassifier
1x,0.8342,0.892,0.8421,0.8328,0.8353,0.6684,0.6722,ExtraTreesClassifier
3x,0.9238,0.961,0.8384,0.8586,0.8467,0.7962,0.7976,LogisticRegression
3x,0.9133,0.9614,0.7703,0.8694,0.8145,0.7586,0.7625,RandomForestClassifier
3x,0.9291,0.9686,0.7961,0.9106,0.8474,0.8018,0.8063,GradientBoostingClassifier
3x,0.9304,0.9591,0.8068,0.9047,0.8519,0.8068,0.8098,LGBMClassifier
3x,0.8081,0.8731,0.7961,0.5954,0.677,0.5459,0.5614,RidgeClassifier
3x,0.9107,0.9349,0.7908,0.8465,0.8157,0.757,0.7593,ExtraTreesClassifier
5x,0.9466,0.9503,0.8216,0.8545,0.8338,0.8022,0.805,LogisticRegression
5x,0.9405,0.9411,0.8426,0.819,0.8244,0.7889,0.7932,RandomForestClassifier
5x,0.9483,0.9457,0.8376,0.8536,0.8432,0.8124,0.814,GradientBoostingClassifier
5x,0.9466,0.9512,0.8113,0.8678,0.8319,0.8005,0.8053,LGBMClassifier
5x,0.7803,0.8251,0.7745,0.4222,0.5422,0.4155,0.4516,RidgeClassifier
5x,0.9492,0.9617,0.8061,0.8811,0.8379,0.8081,0.8118,ExtraTreesClassifier
10x,0.9689,0.9778,0.8316,0.8323,0.8297,0.8127,0.814,LogisticRegression
10x,0.9656,0.9751,0.8053,0.8185,0.8085,0.7897,0.7917,RandomForestClassifier
10x,0.9694,0.9734,0.7842,0.8713,0.8205,0.804,0.8081,GradientBoostingClassifier
10x,0.9718,0.9792,0.7895,0.889,0.8319,0.8168,0.821,LGBMClassifier
10x,0.9317,0.9559,0.8474,0.5873,0.6915,0.6546,0.67,RidgeClassifier
10x,0.967,0.9785,0.7947,0.8392,0.8122,0.7943,0.797,ExtraTreesClassifier
20x,0.983,0.9694,0.8263,0.8207,0.8191,0.8102,0.8126,LogisticRegression
20x,0.9825,0.9726,0.7684,0.8532,0.8052,0.7961,0.7991,RandomForestClassifier
20x,0.9847,0.9741,0.7895,0.8829,0.8292,0.8213,0.825,GradientBoostingClassifier
20x,0.9847,0.9741,0.7632,0.9045,0.8252,0.8173,0.8219,LGBMClassifier
20x,0.9752,0.9662,0.8579,0.7014,0.768,0.7552,0.7615,RidgeClassifier
20x,0.983,0.9776,0.8,0.8391,0.816,0.8071,0.809,ExtraTreesClassifier
50x,0.9929,0.98,0.8579,0.8046,0.827,0.8234,0.8256,LogisticRegression
50x,0.9923,0.9844,0.7737,0.8233,0.7944,0.7904,0.7926,RandomForestClassifier
50x,0.9933,0.9825,0.8053,0.8457,0.8219,0.8185,0.8203,GradientBoostingClassifier
50x,0.994,0.9783,0.7947,0.8973,0.8348,0.8318,0.8375,LGBMClassifier
50x,0.9893,0.9771,0.8895,0.6786,0.7667,0.7613,0.7703,RidgeClassifier
50x,0.9919,0.9841,0.8211,0.7792,0.7967,0.7926,0.7943,ExtraTreesClassifier
